Address 1,Address 2,Address 1 & 2,latitude,longitude,Level,Canonical Address 1,Canonical Address 2,Canonical Address 1 & 2
Makwanpur,Agara,"Agara, Makwanpur",27.67043665,85.0098456,VDC,Makwanpur,Agara,"Agara, Makwanpur"
Navalparasi,Agauli,"Agauli, Navalparasi",27.60140264,84.10084594,VDC,Nawalparasi,Agryouli,"Agryouli, Nawalparasi"
Nawalparasi,Agauli,"Agauli, Nawalparasi",27.60140264,84.10084594,VDC,Nawalparasi,Agryouli,"Agryouli, Nawalparasi"
Arghakhanchi,Aghaphilepath,"Aghaphilepath, Arghakhanchi",27.90056489,83.08225376,District,Arghakhanchi,,Arghakhanchi
Dhading,Aginchok,"Aginchok, Dhading",28.02200682,84.84524514,VDC,Dhading,Aginchok,"Aginchok, Dhading"
Surkhet,Agragaun,"Agragaun, Surkhet",28.59963078,81.98440344,VDC,Surkhet,Agragaun,"Agragaun, Surkhet"
Nawalparasi,Agryouli,"Agryouli, Nawalparasi",27.60140264,84.10084594,VDC,Nawalparasi,Agryouli,"Agryouli, Nawalparasi"
Nawalparasi,Agyauli ,"Agyauli, Nawalparasi",27.60140264,84.10084594,VDC,Nawalparasi,Agryouli,"Agryouli, Nawalparasi"
Dhankuta,Ahale,"Ahale, Dhankuta",26.89353989,87.21526803,VDC,Dhankuta,Ahale,"Ahale, Dhankuta"
Gujarat,Ahemadabad,"Ahemadabad, Gujarat",23.03,72.58,City,Gujarat,Ahmedabad,"Ahmedabad, Gujarat"
Gujarat,Ahmedabad,"Ahmedabad, Gujarat",23.03,72.58,City,Gujarat,Ahmedabad,"Ahmedabad, Gujarat"
Khotang,Ainselukharka,"Ainselukharka, Khotang",27.37000509,86.76458962,VDC,Khotang,Ainselukharka,"Ainselukharka, Khotang"
Sunsari,Aitabare,"Aitabare, Sunsari",26.68320673,87.28430205,VDC,Sunsari,ItahariN.P.,"ItahariN.P., Sunsari"
Rautahat,Ajagabi,"Ajagabi, Rautahat",26.90876341,85.2214215,VDC,Rautahat,Ajagabi,"Ajagabi, Rautahat"
Dadeldhura,Ajayameru,"Ajayameru, Dadeldhura",29.36111761,80.59440259,VDC,Dadeldhura,Ajayameru,"Ajayameru, Dadeldhura"
Parvat,Ajerwa,"Ajerwa, Parvat",28.20094384,83.68698936,District,Parbat,,Parbat
Kapilbastu,Ajigara,"Ajigara, Kapilbastu",27.52615494,82.87842812,VDC,Kapilbastu,Ajigara,"Ajigara, Kapilbastu"
Baglung,Akhikarichaur,"Akhikarichaur, Baglung",28.39824532,83.25994824,VDC,Baglung,Akhikarichaur,"Akhikarichaur, Baglung"
Gulmi,Akhili,"Akhili, Gulmi",28.13901047,83.28884187,VDC,Gulmi,Badagaun,"Badagaun, Gulmi"
Gulmi,Akhili(Bhadgaun),"Akhili(Bhadgaun), Gulmi",28.13901047,83.28884187,VDC,Gulmi,Badagaun,"Badagaun, Gulmi"
Rautahat,Akolawa,"Akolawa, Rautahat",26.80766679,85.25043939,VDC,Rautahat,Akolawa,"Akolawa, Rautahat"
Syangja,Alamadevi,"Alamadevi, Syangja",27.95315922,83.50700427,VDC,Syangja,Alamadevi,"Alamadevi, Syangja"
Dolakha,Alampu,"Alampu, Dolakha",27.87834648,86.09941488,VDC,Dolakha,Alampu,"Alampu, Dolakha"
